,channelTitle,Title,viewCount,likeCount,publishAt,source
0,Forflies,The Bitcoin Selloff is About to Get Much Worse: Here's Why... - BTC/CRYPTOCURRENCY TRADING ANALYSIS,59311,900,2018-11-25T15:00:06.000Z,Youtube
1,Cointelegraph,Bitcoin Collapse Explained | Cointelegraph,107342,1486,2018-11-22T22:21:02.000Z,Youtube
2,CNBC Television,"Bitcoin is at the end of a distress cycle, says BlockTower",40828,387,2018-11-28T23:42:52.000Z,Youtube
3,CNBC Television,"Tom Lee cuts bitcoin year-end target to $15,000",131390,950,2018-11-20T13:22:58.000Z,Youtube
4,CNBC Television,"Bitcoin won't have bottomed until 3K flat level, says Genesis Trading's Moro",108705,696,2018-11-23T13:26:40.000Z,Youtube
5,"TechCashHouse - Best Bitcoin, Crypto, Money News",“Bitcoin Is ABOUT TO RECOVER In WAY NEVER SEEN For THIS REASON” TOM LEE Shares STARTLING New Secret,20281,459,2018-12-01T00:00:06.000Z,Youtube
6,The Modern Investor,"Bitcoin Tumbles In Price, Set To Go Lower - What Is Happening To Crypto Markets?",34917,1082,2018-11-25T09:46:28.000Z,Youtube
7,Altcoin Daily,Can Bitcoin Reach $1 Million by 2020? -Realistically,27755,942,2018-11-11T14:00:04.000Z,Youtube
8,AMTV,TIM DRAPER BITCOIN PREDICTION $250K BY 2022!! $10 TRILLION CRYPTO MKT CAP!,50846,1156,2018-10-25T21:33:55.000Z,Youtube
9,WHAT'S INSIDE? FAMILY,Selling Bitcoin at a Coin Shop!,1561180,11383,2018-05-08T16:58:06.000Z,Youtube
10,Austin Evans,What is Bitcoin?,996794,23286,2017-12-19T17:02:00.000Z,Youtube
11,"TechCashHouse - Best Bitcoin, Crypto, Money News",“You MUST Invest In Bitcoin Before 2019 For 3 KEY REASONS” - BTC Bull Tom Lee Tells MARKET SECRET,49949,1423,2018-10-13T23:00:01.000Z,Youtube
12,CNBC Television,"I am still a long-term bitcoin believer, says the Crypto King",54323,461,2018-11-20T23:29:22.000Z,Youtube
13,Alessio Rastani,How Low Will Bitcoin Go?,65165,2892,2018-11-18T17:09:25.000Z,Youtube
14,Alessio Rastani,Is the Drop in Bitcoin Really A False Breakout?,54813,2761,2018-11-19T14:14:02.000Z,Youtube
15,VINwiki,I just bought a Lamborghini with Bitcoin,1694857,22750,2017-10-12T14:00:04.000Z,Youtube
16,CNBC Television,Former PayPal CEO on why he thinks bitcoin is going to zero,9022,86,2018-08-15T18:47:55.000Z,Youtube
17,LAHWF,Chatting with an Expert on Bitcoin,105115,3530,2018-10-08T16:57:32.000Z,Youtube
18,CNBC Television,This Bitcoin millionaire who lives in tree house,337507,3300,2018-08-27T18:15:39.000Z,Youtube
19,Altcoin Daily,Warning: I Think Bitcoin Is Going Under 3K...Here Is Why? [Altcoins I Bought],37345,2120,2018-11-25T12:00:01.000Z,Youtube
20,Crypto Jebb,"If You're Considering Leaving Bitcoin, Watch This Video.",19957,582,2018-11-27T16:28:39.000Z,Youtube
21,Altcoin Daily,WARNING: If you hold Bitcoin BE READY! [Cryptocurrency Perspective],75627,1665,2018-11-15T16:21:14.000Z,Youtube
22,AMTV,CNBC HOST CLAIMS BITCOIN WILL GO TO ZERO IN 2018... TOTAL COLLAPSE!!,45685,950,2018-10-25T23:04:21.000Z,Youtube
23,The Modern Investor,"The Bitcoin 1% - How Much Do You Need To Be ""Bitcoin Rich""?",27128,1221,2018-10-03T20:21:57.000Z,Youtube
24,100thMonkeyChannel,Bitcoin: Beyond The Bubble - Full Documentary,347100,7254,2018-04-19T15:36:29.000Z,Youtube
25,Alessio Rastani,Bitcoin's NEXT Downside Target is...,62607,3164,2018-11-26T18:03:52.000Z,Youtube
26,Crypto Daily,An Important Message to All Bitcoin HODLers!,74429,4625,2018-11-23T17:18:29.000Z,Youtube
27,CNBC Television,"Bitcoin will end down at 85 percent of previous highs, says expert",12576,135,2018-11-26T13:39:21.000Z,Youtube
28,Crypto Daily,This Bitcoin War Has Only Just Begun...,36169,1941,2018-11-16T15:37:54.000Z,Youtube
29,CNBC Television,"Long, dark winter ahead for crypto, says bitcoin oracle Vinny Lingham",19997,162,2018-11-26T23:13:34.000Z,Youtube
30,Alessio Rastani,Bitcoin Breaks the Floor... How Bad is This?,60472,2520,2018-11-15T18:30:36.000Z,Youtube
31,CryptosRUs,Bitcoin and Crypto Market CRASH - Will History Repeat on Nov 15th?,31726,986,2018-11-14T17:56:44.000Z,Youtube
32,FUD TV,BITCOIN TO $1500? Top Bloomberg analyst reveals shocking data! [Interview],52339,1276,2018-11-28T14:30:00.000Z,Youtube
33,In it for the Money,Bitcoin Down 40% in 10 Days | What I'm Doing,15686,425,2018-11-25T01:31:40.000Z,Youtube
34,Crypto Capital Venture,Bitcoin Run - Will It Continue? - BTC Analysis,7583,296,2018-11-28T19:31:51.000Z,Youtube
35,Louis Thomas,My Target Bitcoin Buy-In Price,35035,757,2018-11-19T17:24:04.000Z,Youtube
36,Altcoin Daily,"Announcements: SEC Bitcoin ETF Approval, BAKKT, and Nasdaq's Launching Crypto 2.0 [Consensus Invest]",29563,1131,2018-11-28T13:00:01.000Z,Youtube
37,The Moon,"Bitcoin CRASHING BELOW $4,000!! | The Never Ending BLOODBATH! | Key Support BROKEN!",20095,616,2018-11-25T00:32:08.000Z,Youtube
38,Forflies,A SCARY REALITY OF BITCOIN THAT NO ONE WANTS TO TALK ABOUT... - BTC/CRYPTOCURRENCY TRADING ANALYSIS,22680,368,2018-11-27T22:09:04.000Z,Youtube
39,CNBC Television,Bitcoin down almost 80 percent since 2017 peak,22864,201,2018-11-27T12:18:06.000Z,Youtube
40,Crypto365,John McAfee drop Bitcoin Price Predictions that may shock you,110475,1551,2018-08-29T12:05:44.000Z,Youtube
41,Wall Street Journal,The Man Who Put Everything He Owns Into Bitcoin | Moving Upstream,213205,2311,2018-11-01T15:32:07.000Z,Youtube
42,AMTV,"BITCOIN UNDER $1,000 WOULD BE CAPITULATION, I’LL MORTGAGE MY HOUSE!!",27889,612,2018-11-25T14:11:59.000Z,Youtube
43,"TechCashHouse - Best Bitcoin, Crypto, Money News","“Bitcoin’s PRICE Will SOON ROCKET, Here’s The REASON WHY” - BTC Genius Explains BULL MARKET RETURN",7101,231,2018-11-15T05:00:00.000Z,Youtube
44,The Moon,"BITCOIN CRASHING BELOW $5,000!! | BTC Has NEVER Been This Oversold In RSI, Bounce IMMINENT??",21062,658,2018-11-19T21:08:23.000Z,Youtube
45,Alessio Rastani,Bitcoin Drops to SECOND Downside Target... What Does it Mean?,57780,2889,2018-11-25T13:00:26.000Z,Youtube
46,CNBC Television,"I come to bury bitcoin, says UBS' global chief economist",7726,70,2018-11-29T23:21:33.000Z,Youtube
47,"TechCashHouse - Best Bitcoin, Crypto, Money News","“Bitcoin To RECOVER MASSIVELY, HISTORIC Price Indicators REVEAL” - BTC Bull Tom Lee Calms Investors",7895,165,2018-11-19T00:00:02.000Z,Youtube
48,"TechCashHouse - Best Bitcoin, Crypto, Money News",“DON’T PANIC If Bitcoin Falls; BTC To Recover INSANELY” - BTC Guru John McAfee Explains KEY Strategy,10409,343,2018-11-26T05:00:02.000Z,Youtube
49,ReasonTV,Is Bitcoin the Future of Money? Peter Schiff vs. Erik Voorhees,411276,5350,2018-07-19T14:20:03.000Z,Youtube
